,Title,Company,Location,Description
0,Machine Learning Engineer/Data Science,Bartleby Technologies Pvt Ltd.,India,"We are in the process of building a world-class team focused on Machine Learning & Data Science and have an established track record of innovation and delivery at the very frontiers of NLU. We build high-end technology that fulfills Bartleby’s mission to help students learn and write better. We have a talented, multi-disciplinary team of ML Practitioners, Data Scientists, and Engineers based out of Bangalore, India, and are looking to expand in each of these areas. While we can customize the precise role and designation for the ideal candidate, here is a summary of the kind of work you will be tasked with: 1. Machine Learning a. Build an ongoing understanding of current state-of-the-art NLU architectures, methods, and processes, and innovate networks that create actionable intelligence from text. b. Understand different media types (images, audio, video, etc.) and build networks that extract information and meaning from these media. c. Create networks that curate (and/or generate) media (text today, everything else tomorrow). Understand the problems that go into building these networks and innovate solutions to mitigate these problems. d. Understand patterns in time-series (and other) data, and create networks that evolve as these patterns do, using SOTA reinforcement learning techniques, Bayesian networks, and other methods. e. Build search and recommendation systems based not just on media but on context and meaning. 2. Data Science a. Build a deep understanding of usage patterns and patterns in language. b. Provide statistical input and solutions to help product teams make better decisions. c. Help understand, clean, and generate datasets for networks. Help interpret network outputs and make them comprehensible to people outside the team. d. Report on customer trends and deployment performance, and identify areas that we can target using ML/Data Science solutions. 3. Engineering: a. This role requires a thorough understanding of core computer engineering and computer science and is not limited to programming, database administration, or engineering the cloud. You will be called on to do all of these. For us, full-stack really means full-stack. b. Define and help build the APIs our various products use to deliver ML-based solutions to customers. c. Understand and decimate engineering challenges that stand in the way of optimal speeds and reliability across all our deployments. d. A deep understanding of algorithms and first principles in computing is helpful for this area of focus. We offer the chance to specialize in any of these broad areas and understand the challenges of and work in areas that are not your core focus. Experienced candidates (and freshers) from any technical or academic field are welcome at all levels of seniority. We value your innovation, commitment to learning, and work ethic above all else and will invest the time to bring the right people up to scratch.
Job Types: Full-time, Regular / Permanent
Salary: From ₹1,500,000.00 per year
Benefits:
Food provided
Health insurance
Internet reimbursement
Schedule:
Fixed shift
Supplemental pay types:
Joining bonus
Ability to commute/relocate:
Anywhere: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Speak with the employer
+91 7204964225"
1,Data Analysts,Electrobrain Modern Technologies Private Limited,"Delhi, Delhi","Urgent Hiring Data Analysts
Dear Candidates,
Greetings!!
It's been a immense pleasure to inform you one of the manufacturing Industry deals in to Data Analysts and other projects. We are looking for Data Analysts. Location - Hyderabad, Bengaluru.
Skill Require
- Data Visualization, Data Engineering, Data Analysis.
Should have strong mathematical background & analytical bent of mind. We are looking ONLY FOR SELF DRIVEN INDIVIDUALS with a desire to excel in Data Science Domain. Should have familiarity with Machine Learning Models, fundamentals in Forecasting, Optimization Techniques, statistical modelling, and artificial intelligence. Proven experience as a Data Scientist or similar role as a fresher.
We are looking for someone who would be responsible for analyzing data, data cleansing, data preparation and exploratory data analysis. As a Data Scientist your responsibilities will include understanding the business problem and experimenting with different modelling architectures to create the best possible setup from model performance as well as computational performance. To do this job successfully, you need exceptional skills in Machine Learning Algorithms.
Your goal will be to find the best data-based solution for the problem at hand. Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress.
Education Qualification
- Should be graduate / post graduate from reputed University.
Salary up to 6 lacs per annual.
Note
- Proven experience as a Data Scientist or similar role. Strong in SQL, Python, Tableau & Power BI skills. Should have familiarity with Machine Learning Models and deployment. Should have strong mathematical background & analytical bent of mind. Strong Problem-Solving Ability.
Interview Process
- Resume Shortlist.
2.00-6.00 Years"
2,Data Science Interns,Locus,"Bengaluru, Karnataka","Intro:
Locus is a technology platform that uses machine learning and proprietary algorithms to automate complex supply chain decisions.We are building The World's Best Dispatch Management Platform in Final Mile.Our smart supply chain solutions provide end-to-end visibility and enable enterprises to enhance their operational efficiency by reining costs, streamlining the customer experience, and reducing environmental impact.
Headquartered at Bangalore, India, we have offices present across, North America, South East Asia, EU. We are a 300+ strong team and growing rapidly.
With a strong base of investors, GIC, Singapore's sovereign wealth fund, Qualcomm Ventures LLC, Tiger Global, Falcon Edge, Blume Ventures, pi Ventures, and others., Locus has raised around $80 million across multiple rounds.
Locus' scalable solutions include route optimization, real-time tracking and analytics, sales beat optimization, territory planning, vehicle allocation and network design. Our future-ready platform has resulted in $150 million+ savings in logistics costs, 70 million+ kilometer reductions in distance traveled, and 17 million+ kilograms reduction in GHG emissions across clients like Nestle, Mondelez, Unilever, BigBasket, Bluedart, Bukalapak, The Tata Group, and many others.The company powers deliveries across North America, Europe, Southeast Asia, Middle East, ANZ, and the Indian Subcontinent.
Backstory:
The journey of Locus from being a women's safety application to a leading logistics optimization platform, is an interesting one. In 2015, Nishith Rastogi and Geet Garg developed RideSafe, a women's safety geo-tracking app to track deviations from pre-defined ride routes.
It was soon adopted by food tech companies to track deviations of their delivery staff. This gave Nishith and Geet material insight that there was clearly a lack of a decision-making system in logistics. This realization was the pivotal foresight that led to the building of Locus, an end-to-end dispatch planning and route optimization platform for supply chain enterprises.
From 2015 till date , Locus has grown by leaps and bounds, with a clear focus on innovating consistently
Role Descriptions:
Data gathering and conduct Exploratory Data Analysis (EDA)
Designing models and developing algorithms using feature engineering, statistical modeling, and machine learning techniques
Applying models, check metrics, iterate to meet target model performance
Showcasing your work and visualization chops in appropriate forums
Building PoCs for the different ML-driven product use-cases
Doing literature survey on various state-of-the-art developments in the area of logistics and supply chain
Collaborating with the data science, business, and product stakeholders
Iterating over your own solutions quickly to reach the final acceptable solution
Code quality - comes close 2nd.
SQL, Statistics, and Probability, playing with big-data
Writing research articles, blogs and publications
Qualifications:
Possess the ability to understand complex problem statements and ask the right questions to get more clarity
Have good coding skills - Python (preferred)
Use of scientific libraries similar to and not limited to pandas, matplotlib, nltk, numpy, sklearn, seaborn, scipy, etc.
Are good at Data Visualization
Prior experience of Data Science projects over kaggle or similar platforms
Are comfortable with Statistics and Probability, Data Structures and Algorithms and Mathematics of Machine Learning
Possess critical and creative thinking
Armed with:
Knowledge of SQL and NoSQL databases is a plus
Knowledge in logistics and supply chain industries is a big plus
At Locus, every member is an owner and a leader, no matter which team or Function they represent. We believe that you are excited about the potential to make an impact in Last mile deliveries through technology and the prospect of creating a legacy that outlasts you!
The biggest joy of working at Locus, for all of us, comes from the opportunity to create value each day, and experience autonomy in all we do.
Life at Locus comes with with added benefits as well:
Locus Energise -our wellness initiative for our team provides - unlimited cashless in-clinic consultations, access to more than 2000+ gyms, cult fitness studios & sports facilities, Telehealth support, pre-recorded fitness videos & mindfulness podcasts, via an app-based access.
A comprehensive Health Insurance policy that covers you and also your loved ones
Continuous learning and development programs, focussed on cross-cultural interactions and individual skill building
Flexible work hours - we believe in getting the work done , and most teams choose their cadence of work coordination and hours to do inter-team collaboration as well as deep focus individual work
No leave restrictions(you manage your own leaves)
We are committed to sustainable practices and one of the many ways we do our share is by incentivising team members who stay close to the office! Pedal or Walk your way to the office and earn extra bucks with a healthier you!
With all of that and a cool office space in the heart of Bangalore, that offers healthy catered meals, a fully functional gym, enjoy a game of snooker or table tennis, and a fully functional hardware lab for your tinkering projects.
If this sounds exciting, and if you feel you meet up the above mentioned qualifications for the role, please apply at
Geetanshi Khanna
(Locus hiring Team)
0.00-50.00 Years"
3,Junior Data Scientist,Turbolab,"Ernakulam, Kerala","We are looking for a talented data scientist with experience in Machine Learning and NLP techniques to join our core product development team. You will be working closely with other Data Scientists, Data Engineers and Analysts.
Core Responsibilities
Write programs to cleanse and integrate data in an efficient and reusable manner.
Work with large structured and unstructured datasets.
Build NLP solutions and ML models for the product teams.
Develop custom data models and algorithms to apply to data sets.
Conduct data driven research.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Perform rapid prototyping of experimental solutions and develop robust, sustainable and scalable production systems
Skill Profile
Good understanding of ML theory and fundamentals.
Strong working knowledge of ML algorithms (supervised, unsupervised, reinforcement learning, deep learning, time series, etc).
Good understanding and expertise in processing large datasets and experience with tools such as Spark.
Strong Python and SQL knowledge.
Understanding of and proficiency in NLP.
Good prototyping skills.
Strong math skills (e.g. statistics)
Ability to learn quickly in a fast-paced environment.
Excellent research skills and a strong analytical mind-set.
Great verbal and written communication skills.
Requirements
0-2 years of working/hobby/personal experience in Data Science and related domains.
0-2 years of working/hobby/personal experience in Python and SQL.
Degree is Computer Science or Mathematics is an added advantage.
Working experience in large NLP projects is an added advantage.
What we DON'T care about:
Your age, gender, where you went to college, or your academic scores.
What we DO care about:
Our mission resonates with you.
You have an unquenchable curiosity, which means you'll figure a way out even in an unfamiliar environment.
And finally your integrity and work ethic.
0.00-2.00 Years"
4,Data Science Intern | WFH/Remote,Techno Compass Consulting Private Limited,"Navi Mumbai, Maharashtra","Selected intern's day-to-day responsibilities include:
1. Identify valuable data sources and automate collection processes
2. Undertake to preprocess of structured and unstructured data
3. Analyze large amounts of information to discover trends and patterns
4. Build predictive models and machine-learning algorithms
5. Combine models through ensemble modeling
6. Present information using data visualization techniques
7. Propose solutions and strategies to business challenges
8. Collaborate with engineering and product development teams
9. Mine and analyze data from company databases to drive optimization and
10. improvement of product development, marketing techniques, and business strategies
0.00-1.00 Years"
5,Data Science Trainers,camerinfolks Pvt.Ltd,"Ernakulam, Kerala","Looking for trained freshers or experienced Data Science Trainers.
*Knowledge of fundamentals of Statistics and Statistical Programming.
*Should be familiar with Machine Learning Algorithms.
*Should be able to do Data-science Programming.
*Added advantage if already has knowledge in Python Packages (numpy, Scipy, Matplotlib and Pandas)
*Nice to have exposure with Deep Learning in AI.
*Good command of the English language and impeccable communication skills.
Experience : 0 to 2 year.
Job Types: Full-time, Regular / Permanent
Salary: ₹16,000.00 - ₹25,000.00 per month
Job Types: Full-time, Fresher, Regular / Permanent
Salary: ₹16,000.00 - ₹25,000.00 per month
Benefits:
Internet reimbursement
Schedule:
Morning shift
COVID-19 considerations:
wear mask
Speak with the employer
+91"
6,Data Science,Infosys Limited,"Bengaluru, Karnataka","Responsibilities
• Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning & validation • Present findings to business users & project management teams • Propose ML based solution approaches & estimates for new use cases • Contribute to AI based modules in Infosys solutions development • Explore new advances in AI continuously and execute PoCs • Mentoring – guide junior team members & evangelize AI in organization
Additional Responsibilities:
• Good verbal & written communication skills – articulate value of AI to business, project managers & other team members • Ability to break complex problem into smaller problems and create hypothesis • Innovation and experimentation
Technical and Professional Requirements:
• Programming: Python, R, SQL • ML algorithms: o Statistical ML algorithms o Deep Neural Network architectures o Model ensembling o Generative AI models o ML for Responsible AI • AI domains - NLP, speech, computer vision, structured data • Learning patterns – supervised, unsupervised, reinforcement learning • Tools for data analysis, auto ML, model deployment & scaling • Knowledge of datasets, pre-built models available in open community and 3rd party providers • Knowledge of software development & architectures • Knowledge of hyperscalers & their AI capabilities – Azure, AWS, GCP
Preferred Skills:
Python,Artificial Intelligence->Python ML,Machine Learning->Data Science,Artificial Intelligence->NLP Deep Learning Algorithms,Bigdata->Pyspark
Educational Requirements
Bachelor of Engineering"
7,Data Scientist,Wolters Kluwer India Private Limited,"Pune, Maharashtra","Job Description
We are looking for Fresher Data Scientist, CIOx Team, which is a part of Governance Risk and Compliance business for Wolters Kluwer:
Essential Duties and Responsibilities:
Gather and analyze information, design and code data processes and build predictive analytical models, formulate and test hypotheses, contribute to the development and communication of recommendations and help the leadership make informed business decisions for assigned projects Managing the coding and/or extraction of data to conduct thorough analysis.
Able to understand the business insights through data analysis and building of models and other analytics.
Understanding data analysis projects by external consultants being able to replicate their codes and processes in other languages if required.
Developing and analysing statistical and mathematical models on business opportunities identifying key trends and data characteristics within the data sets that require further investigation and using analysis to generate business recommendations (e.g., to improve profitability, to find more customers).
Help create and maintain a suite of advanced analytical/machine learning libraries that can help detect patterns within data outline all structured and unstructured data elements required to fully evaluate data characteristics and make informed business decisions for assigned projects
Participate in continuous process improvement initiatives by working across technical teams to enhance the systems, processes and controls, e.g., methods, standards, capabilities.
Ensure close collaboration with the rest of the team as well other stakeholders.
Other Duties:
Proactively pursues professional development activities (e.g., learning new tools, techniques)
Performs internal trainings, process documents, knowledge sharing etc. as requested by the CIOx leadership team.
Qualifications:
Education
Bachelor's Degree OR Post Graduate degree in Statistics, Operations Research, Economics, Mathematics, Computer Science, Engineering, Technology or related field.
Tools/Softwares
Courses or demonstrated interest in the machine learning/Artificial Intelligence/Advanced analytics space with:
Strong foundation in statistical methodologies (e.g., linear/logistic regression, Segmentation/classification techniques.)
Knowledge or familiarity of data manipulation and analysis languages (e.g. Python/ SQL/Spark/Hive etc.) as well as data visualization platforms (Tableau, PowerBI etc.)
Familiarity with the Microsoft Office Suite (Word, Excel, PowerPoint and Outlook).
Knowledge of Natural Language Processing/Text mining concepts is strongly desirable.
Essential Skills and Traits
Strong analytical and problem-solving skills.
Highly motivated, organized Proactive self-starter and a team player. Takes ownership and makes the required judgements whenever necessary.
Collaborative in a global and continuously changing environment. Excellent written and verbal communication in English. Comfortable in explaining and defending your ideas and analysis, while still being able to recognize the merits of others' opinions.
Likes learning and building competencies in new coding tools and statistical techniques.
Enjoys working in a fun, innovative, demanding and dynamic environment.
0.00-50.00 Years"
8,Jr Data Scientist (Remote),Think Future Technologies,"Gurgaon, Haryana","Job Details:
We are currently in need of a Jr. Data Scientist to join our fast-growing team. The ideal candidate will
be intricately involved in running analytical experiments in a methodical manner, and will regularly
evaluate alternate models via theoretical approaches. You will be in the forefront of implementing
new models that tackle real enterprise problems and improving existing models. This is the perfect
opportunity for the successful candidate to become a part of an innovative and energetic team that
develops analysis tools which will influence both our products and clients.
Roles & Responsibilities:
Apply analytical theory to real-world problems on dynamic datasets
Be hands-on in identifying problems in data and improving the quality of data using tools and
data labeling techniques
Define quality metrics for the data and model performance
Work in tandem with Machine Learning Developers to build and improve the tools to train, monitor and analyze model performance and data quality
Identify areas in which more data could be collected and used to train the models
Work with designers on collecting user data for training models purposes
Work with other teams to understand the opportunities and constraints of existing data in the
context of ML and predictive modelling
Propose technical solutions and strategies to business challenges in a self-driven environment
Develop statistical models and algorithms for integration with our product
Provide input into future data science strategy and product development
Test, evaluate and improve the analytical results on live systems Demonstrate a strong
commitment to Excellence
Qualifications:
Minimum 6 months of experience in the field of Data Science
Experienced with multiple ML techniques such as deep neural networks, transformers and recommend-er models, as well as python ML libraries such as TensorFlow, PyTorch and sklearn
Equipped with programming skills to self-sufficiently manipulate, analyse, synthesise, and visualize data in e.g. matplotlib, plotly, bokeh, pandas
Experienced in the design and usage of relational databases (SQL, PostgreSQL)
Experienced with testing frameworks (e.g. PyTest)
Experienced with Docker containers in the context of training and deploying ML models
Competencies & Behavior:
Excellent oral and written skills in English
Creative talents and the ability to solve tough problems
Ability to work across concurrent projects
Ability to communicate effectively via multiple channels (verbal, written, etc.)
Ability to have attention to detail and accurately follow procedures
Ability to collaborate with peers in various organizations is critical
Job Type: Full-time"
9,Data Scientist - Fresher Job,GE Digital,"Bengaluru, Karnataka","Job Description Summary
The Data Scientist will work in teams addressing statistical, machine learning and data understanding problems in a commercial technology and consultancy development environment. In this role, you will contribute to the development and deployment of modern machine learning, operational research, semantic analysis, and statistical methods for finding structure in large data sets.
Job Description
Roles and Responsibilities
As a Data Scientist, you will be part of a data science or cross-disciplinary team on commercially facing development projects, typically involving large, complex data sets. These teams typically include statisticians, computer scientists, software developers, engineers, product managers, and end users, working in concert with partners in GE business units. Potential application areas include remote monitoring and diagnostics across infrastructure and industrial sectors, financial portfolio risk assessment, and operations optimization.
In this role, you will:
. Develop analytics within well-defined projects to address customer needs and opportunities.
. Work alongside software developers and software engineers to translate algorithms into commercially viable products and services.
. Work in technical teams in development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics.
. Perform exploratory and targeted data analyses using descriptive statistics and other methods.
. Work with data engineers on data quality assessment, data cleansing and data analytics
. Good, applied statistics Skills such as distributions, statistical testing, regression, maximum likelihood estimators etc.,
. Generate reports, annotated code, and other projects artifacts to document, archive, and communicate your work and outcomes.
. Strong Math Skills (Multivariable calculus and Linear Algebra) and theoretical understanding of algorithm optimization techniques
. Share and discuss findings with team members.
Education Qualification
Bachelor's Degree in Computer Science or 'STEM' Majors (Science, Technology, Engineering and Math) with basic or minimum of 2 years of experience
Desired Characteristics
. Demonstrated skill in the use of one or more analytic software tools or languages (e.g., Python) and demonstrated ability to work on database query languages like SQL etc.
. Handling imperfections in the data and Demonstrated skill at data cleansing, data quality assessment, and using analytics for data assessment
. Demonstrated skill in the use of applied analytics, descriptive statistics, and predictive analytics on industrial or other similar domain related datasets
. Excellent understanding of machine learning techniques and algorithms such as k-NN, Naive Bayes, SVM, Decision forests etc.
. Exposure in using advanced ML Frameworks dealing with NLP, Computer vision, Timeseries modelling would be an added advantage.
Technical Expertise:
. Demonstrated awareness of feature extraction and real-time analytics methods
. Demonstrated awareness of analytic prototyping, analytic scaleup, analytic scaling, and solutions integration
Domain Knowledge:
. Demonstrated awareness of industry and technology trends in data science
. Demonstrated awareness of customer and stakeholder management and business metrics
Leadership:
. Demonstrated awareness of how to function in a team setting
. Demonstrated awareness of critical thinking and problem solving methods
. Demonstrated awareness of presentation skills
Personal Attributes:
. Demonstrated awareness of how to leverage curiosity and creativity to drive business impact
Note
This Job Description is intended to provide a high-level guide to the role. However, it is not intended to amend or otherwise restrict/expand the duties required from each individual employee as set out in their respective employment contract and/or as otherwise agreed between an employee and their manager.
2.00-5.00 Years"
